id,source,prefecture,region,agency,agency_type,title,category,bid_method,announced_date,deadline,budget,spec_status,spec_reason,winner,win_price,detail_url,external_id
1962,官公需API,,,独立行政法人自動車事故対策機構,国の機関,中部療護センター 高圧ケーブル及び高圧機器設備更新工事,電気工事,,2026-06-04,,,unknown,,,,https://www.nasva.go.jp/choutatu/documents/20260604nyusatu_1.pdf,KKJ-Z292NC9uYXN2YV9nby8yMDI2LzIwMjYwNjA0XzAwNTkwCg==
2015,官公需API,,,,地方公共団体,30.殿原スポーツ公園変電所改修工事,電気工事,,2026-06-01,,,available,,,,https://www.town.fujikawa.yamanashi.jp/docs/2025062500037/file_contents/30koukoku.pdf,KKJ-eWFtYW5hc2hpL2Z1amlrYXdhX3Rvd24vMjAyNi8yMDI2MDYwMV8wMDAyNwo=
2016,官公需API,,,,地方公共団体,29.ますほ文化ホールボーダーケーブル更新工事,電気工事,,2026-06-01,,,available,,,,https://www.town.fujikawa.yamanashi.jp/docs/2025062500037/file_contents/29koukoku.pdf,KKJ-eWFtYW5hc2hpL2Z1amlrYXdhX3Rvd24vMjAyNi8yMDI2MDYwMV8wMDAyNgo=
2017,官公需API,,,,地方公共団体,28.利根川公園プール変電所改修工事,電気工事,,2026-06-01,,,available,,,,https://www.town.fujikawa.yamanashi.jp/docs/2025062500037/file_contents/28koukoku.pdf,KKJ-eWFtYW5hc2hpL2Z1amlrYXdhX3Rvd24vMjAyNi8yMDI2MDYwMV8wMDAyNQo=
2241,官公需API,,,日本中央競馬会,地方公共団体,東京競馬場特別高圧受変電設備更新工事,電気工事,,2026-05-19,,,unknown,,,,https://company.jra.jp/7405/etc/etc01/05/etc01_announcement1/01/20260519_01.pdf,KKJ-Z292Ny9qcmEvMjAyNi8yMDI2MDUxOV8wNTc3Ngo=
2348,官公需API,,,日本中央競馬会,地方公共団体,美浦トレーニング・センター入厩検疫厩舎馬房空調設備設置工事,電気工事,,2026-05-12,,,unknown,,,,https://company.jra.jp/7405/etc/etc01/05/etc01_announcement1/01/20260512_01.pdf,KKJ-Z292Ny9qcmEvMjAyNi8yMDI2MDUxMl8wNTc2OQo=
2424,官公需API,,,,地方公共団体,18.富士川中学校屋内運動場ＬＥＤ工事,電気工事,,2026-05-01,,,available,,,,https://www.town.fujikawa.yamanashi.jp/docs/2025062500037/file_contents/18koukoku.pdf,KKJ-eWFtYW5hc2hpL2Z1amlrYXdhX3Rvd24vMjAyNi8yMDI2MDUwMV8wMDAyMQo=
2954,PPI,,,国土交通省大臣官房官庁営繕部 ／ 大臣官房官庁営繕部,国の機関,特許庁総合庁舎改修（Ｒ７）電気設備工事,電気工事,一般競争入札（標準型）,2025-12-24,2026-03-09,,unknown,,,,https://www.i-ppi.jp/IPPI/SearchServices/Web/Index.htm,PPI-keika-14-2025/12/24
1870,官公需API,三重県,東海,三重県志摩市,地方公共団体,市営住宅畑野住宅長寿命化型改善工事,電気工事,,2026-06-10,,,available,,,,https://www.city.shima.mie.jp/material/files/group/7/0601koukokuR080624.pdf,KKJ-bWllL3NoaW1hX2NpdHkvMjAyNi8yMDI2MDYxMF8wMjA2OAo=
1933,官公需API,三重県,東海,国家公安委員会（警察庁）三重県警察,国の機関,令和8年度第1号 三重県警察学校自動火災報知設備改修工事 入札公告,電気工事,,2026-06-05,,,unknown,,,,https://www.police.pref.mie.jp/upload/20260604-094321.pdf,KKJ-bWllL3BvbGljZV9taWUvMjAyNi8yMDI2MDYwNV8wMDI3MQo=
1975,官公需API,三重県,東海,三重県志摩市,地方公共団体,水道施設遠方監視制御装置更新工事,電気工事,,2026-06-03,,,available,,,,https://www.city.shima.mie.jp/material/files/group/7/R080714zizen0401koukoku.pdf,KKJ-bWllL3NoaW1hX2NpdHkvMjAyNi8yMDI2MDYwM18wMjA2Ngo=
1976,官公需API,三重県,東海,三重県志摩市,地方公共団体,神明追塩施設建築工事,電気工事,,2026-06-03,,,available,,,,https://www.city.shima.mie.jp/material/files/group/7/0301koukokuR0800624.pdf,KKJ-bWllL3NoaW1hX2NpdHkvMjAyNi8yMDI2MDYwM18wMjA2NAo=
1977,官公需API,三重県,東海,国家公安委員会（警察庁）三重県警察,国の機関,令和8年度第1号 三重県警察学校自動火災報知設備改修工事、令和8年度第4号 三重県警察学校体育館空調設備整備工事 発注見通し,電気工事,,2026-06-03,,,unknown,,,,https://www.police.pref.mie.jp/upload/20260603-112833.pdf,KKJ-bWllL3BvbGljZV9taWUvMjAyNi8yMDI2MDYwM18wMDI3MAo=
2296,官公需API,三重県,東海,三重県尾鷲市,地方公共団体,矢浜津波避難施設建設工事,電気工事,,2026-05-14,,,available,,,,https://www.city.owase.lg.jp/cmsfiles/contents/0000024/24662/01-koukoku-yanohamahinantower.pdf,KKJ-bWllL293YXNlX2NpdHkvMjAyNi8yMDI2MDUxNF8wMDAyNwo=
